post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Tue Jul 23 20:23:32 +0000 2019,Are our similarities powerful enough to overcome our differences? “Blueprint” is an optimistic (and terrific) book that explores why humans have evolved to work together and cooperate. https://t.co/mQz07WvFgm,597,1,1,0,1,0,20,0,similarities powerful enough overcome differences blueprint optimistic terrific book explores humans evolved work together cooperate,0.802,0.406,0.594,0.0
Sun Jul 21 23:52:00 +0000 2019,"I usually wait until the end of the year to share good news that you might have missed, but I couldn’t resist sharing this list from @PositiveNewsUK (check out #14!). Which story has inspired you the most so far this year? https://t.co/2fSdE0BpPF",1046,1,1,0,1,0,23,1,usually wait end year share good news might missed couldnt resist sharing list positivenewsuk check 14 story inspired far year,0.5815,0.298,0.539,0.163
Sat Jul 20 12:00:00 +0000 2019,Can you imagine an aircraft engine in your car? The @ARPAE Summit is one of the coolest places to learn about new energy tech. The @btenergy team came back with lots of new ideas and insights from this year’s event. https://t.co/GZZKQ6w6dW,717,1,1,0,1,0,12,0,imagine aircraft engine car arpae summit coolest places learn new energy tech btenergy team came back lots new ideas insights years event,0.2732,0.091,0.909,0.0
Fri Jul 19 21:58:08 +0000 2019,The people who will suffer most from climate change are the ones least responsible for it. Here’s how we can help them: https://t.co/S32e1ljJru https://t.co/18ueJU1kkX,2014,1,2,1,1,0,21,0,people suffer climate change ones least responsible heres help,-0.4141,0.191,0.424,0.386
Thu Jul 18 16:33:24 +0000 2019,"This is something I would have loved as a kid: @MicrosoftStore is hosting a series of free Camp Know Where events across the country. If your kids love science (and @Stranger_Things), I encourage you to check them out. https://t.co/hz7LJYIq2b",2116,1,1,0,1,0,16,0,something would loved kid microsoftstore hosting series free camp know events across country kids love science strangerthings encourage check,0.9403,0.495,0.505,0.0
Thu Jul 18 11:18:00 +0000 2019,"What political and economic changes are needed to address climate change? If you’re between 16 and 25 years old, share your idea with @TheEconomist. I look forward to reading the winning entry! #OpenFuture https://t.co/89cganUcdH",746,1,1,0,1,0,11,1,political economic changes needed address climate change youre 16 25 years old share idea theeconomist look forward reading winning entry openfuture,0.6808,0.228,0.772,0.0
Wed Jul 17 22:47:14 +0000 2019,Last year @GatesUS invested $92 million in networks of schools that are working together to improve student outcomes. Here’s an update on the progress we’ve made in the first year of the program – and what’s next: https://t.co/pjkgxeZq3z https://t.co/6OabhP3Pd9,567,1,2,1,1,0,22,0,last year gatesus invested 92 million networks schools working together improve student outcomes heres update progress weve made first year program whats next,0.6908,0.213,0.787,0.0
Mon Jul 15 03:18:27 +0000 2019,I recently wrote about how people with tech skills can find fascinating problems to work on in global health and development. I was excited to come across this @techreview article about African machine learning researchers who are already doing just that. https://t.co/3e1d2QvvH4,1463,1,1,0,1,0,3,0,recently wrote people tech skills find fascinating problems work global health development excited come across techreview article african machine learning researchers already,0.4939,0.214,0.688,0.098
Fri Jul 12 16:51:00 +0000 2019,"“Fathers who help unlock their daughter’s potential, standing up for their rights and raising them to believe they have them, bring prosperity and happiness to their entire families.” I recommend reading this essay from @ZiauddinY about @Malala. #MalalaDay https://t.co/SRqQjSa4vA",3630,1,1,0,1,0,16,1,fathers help unlock daughters potential standing rights raising believe bring prosperity happiness entire families recommend reading essay ziauddiny malala malaladay,0.8316,0.341,0.659,0.0
Thu Jul 11 22:31:27 +0000 2019,"Nearly one billion malaria cases have been prevented since 2000, but infection rates have plateaued or even increased in some areas. @axios explains how we can #StepUptheFight and end the disease for good. https://t.co/EKLQb8q1IH",798,1,1,0,1,0,22,1,nearly billion malaria cases prevented since 2000 infection rates plateaued even increased areas axios explains stepupthefight end disease good,0.6249,0.276,0.724,0.0
