post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Mon Oct 15 21:06:14 +0000 2018,"RT @lynnlaaa: I reviewed the #Pixel3! TL;DR:
📸 The camera is awesome, esp. the low-light and HDR
🆗 Wide-angle selfies are fun and similar w…",54,1,1,0,1,0,21,1,rt lynnlaaa reviewed pixel3 tldr camera awesome esp lowlight hdr wideangle selfies fun similar w,0.6597,0.346,0.514,0.14
Mon Oct 15 20:03:05 +0000 2018,RT @backlon: Here’s my review of the Pixel 3 and Pixel 3 XL. They are stupendous phones. And spoiler alert: the best cameras on a smartphon…,104,1,1,0,1,0,20,0,rt backlon heres review pixel 3 pixel 3 xl stupendous phones spoiler alert best cameras smartphon,0.7506,0.348,0.652,0.0
Fri Oct 12 22:35:34 +0000 2018,Encouraged by the progress in our #GoogleAI work on metastatic breast cancer detection: pathologists + our AI models working together are more accurate in identifying tumors than either on its own https://t.co/YUWGGNNR6v,490,1,1,0,1,0,22,1,encouraged progress googleai work metastatic breast cancer detection pathologists ai models working together accurate identifying tumors either,-0.0258,0.224,0.591,0.186
Thu Oct 11 00:57:22 +0000 2018,It’s been a tough hurricane season for the Southeastern US. We’re thinking of those affected by #HurricaneMichael: donating $1M from @Googleorg &amp; Googlers and supporting the efforts of @FLGovScott @GovernorDeal @GovernorKayIvey @henrymcmaster @NC_Governor to help those impacted,173,1,1,0,1,0,0,1,tough hurricane season southeastern us thinking affected hurricanemichael donating 1m googleorg amp googlers supporting efforts flgovscott governordeal governorkayivey henrymcmaster ncgovernor help impacted,0.5423,0.21,0.674,0.116
Wed Oct 10 01:38:57 +0000 2018,"RT @LaurenGoode: Google's Pixel 3 phone still has a single rear camera lens. So how is the camera better? AI, some hardware updates, but al…",173,1,1,0,1,0,1,0,rt laurengoode googles pixel 3 phone still single rear camera lens camera better ai hardware updates al,0.4404,0.162,0.838,0.0
Tue Oct 09 16:13:53 +0000 2018,"Today we unveiled a new #madebygoogle family: 2 Pixel phones, Home Hub smart display with the Google Assistant, Pixel Slate tablet running Chrome OS &amp; more - all bringing together the best of #GoogleAI, software and hardware to help you get things done https://t.co/26S840izte",652,1,1,0,1,0,16,2,today unveiled new madebygoogle family 2 pixel phones home hub smart display google assistant pixel slate tablet running chrome os amp bringing together best googleai software hardware help get things done,0.8625,0.262,0.738,0.0
Mon Oct 01 20:44:01 +0000 2018,"We’re deeply saddened about the earthquake and tsunami in Indonesia - @googleorg and Googlers are donating $1M to support relief efforts, and we’ve activated our SOS Alerts to provide emergency info to those impacted",1273,1,1,0,1,0,20,0,deeply saddened earthquake tsunami indonesia googleorg googlers donating 1m support relief efforts weve activated sos alerts provide emergency info impacted,-0.1263,0.206,0.57,0.224
Mon Sep 24 22:16:32 +0000 2018,Making information universally accessible and useful is as core to who we are today as it was when we began 20 years ago - lots of enhancements coming to Google Search #Search20 https://t.co/6TP5cVZp13,371,1,1,0,1,0,22,1,making information universally accessible useful core today began 20 years ago lots enhancements coming google search search20,0.4404,0.153,0.847,0.0
Mon Sep 24 18:18:57 +0000 2018,We're using AI to create more accurate forecasting models to predict when and where floods will occur - proud to partner w/ India’s Central Water Commission as the first region to roll out early flood warnings in Search #GoogleAI #Searchis20 https://t.co/SmBg5tz8wI,1360,1,1,0,1,0,18,2,using ai create accurate forecasting models predict floods occur proud partner w indias central water commission first region roll early flood warnings search googleai searchis20,0.4588,0.183,0.739,0.077
Fri Sep 21 15:40:25 +0000 2018,"RT @GoogleDoodles: For 31 seasons &amp; 912 episodes, #MisterRogers invited us to be his neighbor. Today, we celebrate his positive impact &amp; al…",925,1,1,0,1,0,15,1,rt googledoodles 31 seasons amp 912 episodes misterrogers invited us neighbor today celebrate positive impact amp al,0.8074,0.327,0.673,0.0
Tue Sep 18 20:43:39 +0000 2018,"Our new #GoogleAI center opened in Paris, France today - thrilled we're working with the scientific community in France on AI research in health, computer vision and more https://t.co/APaTh5ZAu0",564,1,1,0,1,0,20,1,new googleai center opened paris france today thrilled working scientific community france ai research health computer vision,0.5994,0.246,0.754,0.0
Tue Sep 18 17:39:05 +0000 2018,"Our thoughts are with those impacted by this month's catastrophic storms. @googleorg and Googlers are committing $1M to #TyphoonMangkhut recovery, and we continue to match donations up to $1M for #HurricaneFlorence at https://t.co/XjekG3bPs8",212,1,1,0,1,0,17,2,thoughts impacted months catastrophic storms googleorg googlers committing 1m typhoonmangkhut recovery continue match donations 1m hurricaneflorence,-0.4404,0.07,0.757,0.173
