post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Tue Apr 30 01:28:28 +0000 2019,"It’s amazing to think about the creative ways we’ve delivered vaccines over the years (even by dog sled, when necessary). Today, a startup called Zipline is even using delivery drones to reach the most remote parts of the world. https://t.co/ivkdFYc2j0 #VaccinesWork",1569,1,1,0,1,0,1,1,amazing think creative ways weve delivered vaccines years even dog sled necessary today startup called zipline even using delivery drones reach remote parts world vaccineswork,0.7783,0.262,0.738,0.0
Sun Apr 28 16:10:00 +0000 2019,The promise and perils of gene-editing might be the most important public debate we haven’t been having widely enough. I encourage you to read up on it whenever you have a chance. This @TheEconomist piece is a great place to start. https://t.co/srP2L1zu6T,1183,1,1,0,1,0,16,0,promise perils geneediting might important public debate havent widely enough encourage read whenever chance theeconomist piece great place start,0.7578,0.379,0.52,0.1
Fri Apr 26 13:48:13 +0000 2019,"One of my favorite authors, @sapinker, co-wrote a piece about why nuclear power is so important in fighting climate change. It’s worth reading. https://t.co/bDkDgF8sEQ",2232,1,1,0,1,0,13,0,favorite authors sapinker cowrote piece nuclear power important fighting climate change worth reading,0.4939,0.368,0.495,0.137
Thu Apr 25 13:52:45 +0000 2019,Deaths from malaria have dropped 42% since 2000. I’m as optimistic as ever that we can get to zero deaths in our generation: https://t.co/7PGDJv9PWG #WorldMalariaDay https://t.co/nWLLtMXz1B,1430,1,2,1,1,0,13,1,deaths malaria dropped 42 since 2000 optimistic ever get zero deaths generation worldmalariaday,0.3182,0.161,0.839,0.0
Wed Apr 24 11:54:00 +0000 2019,Stories like this one from Kenya remind me of why Melinda and I started our foundation. I'm optimistic we will continue to make progress towards the day that no child dies from a preventable disease. #VaccinesWork https://t.co/srfCk36l83,1213,1,2,1,1,0,11,1,stories like kenya remind melinda started foundation optimistic continue make progress towards day child dies preventable disease vaccineswork,0.765,0.336,0.664,0.0
Tue Apr 23 14:04:43 +0000 2019,"Melinda’s new book, The #MomentofLift, is out today: https://t.co/sC4eE1Jy8N.

She combines her mastery of data with her ability to tell powerful stories. It was a lot of fun watching her write it, and I’m excited for all of you to read it. https://t.co/Mc76kYsWIJ",820,1,2,1,1,0,14,1,melindas new book momentoflift today combines mastery data ability tell powerful stories lot fun watching write excited read,0.8689,0.435,0.565,0.0
Mon Apr 22 14:25:47 +0000 2019,"On #EarthDay, I’m inspired by the inventors who are tackling climate change and all the people who are supporting their work. I can’t wait to share their progress with you throughout the year. https://t.co/bZMYnhmZjY",2190,1,2,1,1,0,14,1,earthday inspired inventors tackling climate change people supporting work cant wait share progress throughout year,0.4367,0.286,0.516,0.198
Sat Apr 20 18:55:52 +0000 2019,Melinda’s new book The #MomentofLift is an urgent call to action. I’ll commit to the lift by working to ensure that we collect better data about women’s lives and livelihoods. https://t.co/KgFxAmXFl0,452,1,1,0,1,0,18,1,melindas new book momentoflift urgent call action ill commit lift working ensure collect better data womens lives livelihoods,0.765,0.435,0.458,0.107
Sat Apr 20 15:40:57 +0000 2019,Gene drive is a technique where you give a few mosquitoes an edited gene and it drives itself into all their offspring. It could one day help us defeat diseases like malaria: https://t.co/8rlIYXbWSN https://t.co/l1I0zhg0g3,892,1,2,1,1,0,15,0,gene drive technique give mosquitoes edited gene drives offspring could day help us defeat diseases like malaria,0.296,0.234,0.631,0.135
Fri Apr 19 21:00:00 +0000 2019,"Less than a century ago, families everywhere lived in fear of a mosquito bite. Now 75% of all malaria cases occur in just 15 countries. The partners fighting this disease won’t rest until we’ve reached every case of malaria, while saving as many lives as possible along the way. https://t.co/WDTG7lKiDg",1725,1,2,1,1,0,21,0,less century ago families everywhere lived fear mosquito bite 75 malaria cases occur 15 countries partners fighting disease wont rest weve reached every case malaria saving many lives possible along way,-0.7181,0.0,0.8,0.2
